# Forces     
# CofR       : (5.000000e-02 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous) moment(pressure viscous porous)
0.155        	((1.747374e+02 -6.899572e-04 4.267661e-20) (1.695390e-02 -9.315210e-09 -4.261620e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.815190e-21 -3.878511e-22 3.740354e-05) (-1.432056e-22 1.346183e-22 4.023537e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.16         	((1.793663e+02 -6.932274e-04 4.103995e-20) (1.699873e-02 -9.389046e-09 -4.228150e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.856672e-21 -2.513333e-22 3.744249e-05) (-1.477946e-22 1.239970e-22 4.052511e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.165        	((1.839667e+02 -5.697002e-04 3.926165e-20) (1.704233e-02 -9.410479e-09 -4.193569e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.900756e-21 -1.070054e-22 3.113446e-05) (-1.521470e-22 1.132720e-22 4.056095e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.17         	((1.885116e+02 -5.537063e-04 3.737374e-20) (1.708459e-02 -9.423383e-09 -4.159703e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.945916e-21 4.279282e-23 3.019773e-05) (-1.562827e-22 1.024931e-22 4.056486e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.175        	((1.929637e+02 -4.024214e-04 3.541423e-20) (1.712546e-02 -9.362477e-09 -4.127049e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.988382e-21 1.946925e-22 2.249309e-05) (-1.602103e-22 9.170334e-23 4.020714e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.18         	((1.972727e+02 -4.763295e-04 3.343555e-20) (1.716488e-02 -9.330906e-09 -4.096790e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.029114e-21 3.463532e-22 2.604776e-05) (-1.639423e-22 8.093402e-23 4.001439e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.185        	((2.013944e+02 -4.349826e-04 3.148761e-20) (1.720280e-02 -9.279021e-09 -4.068197e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.067516e-21 4.950470e-22 2.384220e-05) (-1.674958e-22 7.033321e-23 3.973774e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.19         	((2.052868e+02 -4.115625e-04 2.960949e-20) (1.723921e-02 -9.206336e-09 -4.040042e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.099946e-21 6.374228e-22 2.253767e-05) (-1.708820e-22 5.997067e-23 3.937614e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.195        	((2.089158e+02 -3.840556e-04 2.783363e-20) (1.727408e-02 -9.109628e-09 -4.011652e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.125027e-21 7.712808e-22 2.103539e-05) (-1.741220e-22 4.987610e-23 3.891458e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.2          	((2.122575e+02 -3.559652e-04 2.617995e-20) (1.730742e-02 -8.990612e-09 -3.982256e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.141760e-21 8.952398e-22 1.951167e-05) (-1.772213e-22 4.006394e-23 3.836343e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.205        	((2.153012e+02 -4.079546e-04 2.465593e-20) (1.733924e-02 -8.843740e-09 -3.951223e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.149691e-21 1.008735e-21 2.200014e-05) (-1.801806e-22 3.053262e-23 3.770024e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.21         	((2.180540e+02 -3.101035e-04 2.325855e-20) (1.736953e-02 -8.673229e-09 -3.917922e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.149041e-21 1.111970e-21 1.700457e-05) (-1.830243e-22 2.129789e-23 3.695582e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.215        	((2.205297e+02 -2.065357e-04 2.197732e-20) (1.739830e-02 -8.461075e-09 -3.881828e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.140345e-21 1.205626e-21 1.173053e-05) (-1.857526e-22 1.235897e-23 3.602329e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.22         	((2.227482e+02 -2.440549e-04 2.079754e-20) (1.742556e-02 -8.257848e-09 -3.842565e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.124465e-21 1.290749e-21 1.351731e-05) (-1.883661e-22 3.708599e-24 3.515483e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.225        	((2.247325e+02 -1.661401e-04 1.970309e-20) (1.745131e-02 -8.025477e-09 -3.799827e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.102381e-21 1.368488e-21 9.537877e-06) (-1.908602e-22 -4.665831e-24 3.415628e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.23         	((2.265068e+02 -2.708350e-04 1.867824e-20) (1.747555e-02 -7.821420e-09 -3.753368e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.074959e-21 1.439947e-21 1.469347e-05) (-1.932290e-22 -1.277718e-23 3.332130e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.235        	((2.280962e+02 -1.093957e-04 1.770915e-20) (1.749829e-02 -7.539700e-09 -3.702889e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.043692e-21 1.506399e-21 6.546077e-06) (-1.954716e-22 -2.062474e-23 3.212577e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.24         	((2.295225e+02 -9.163270e-05 1.678352e-20) (1.751951e-02 -7.260488e-09 -3.648367e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.008527e-21 1.568431e-21 5.585469e-06) (-1.975786e-22 -2.822922e-23 3.095380e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.245        	((2.308060e+02 -6.959578e-05 1.588932e-20) (1.753924e-02 -6.915551e-09 -3.589192e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.968794e-21 1.626426e-21 4.413380e-06) (-1.995248e-22 -3.560216e-23 2.947183e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.25         	((2.319507e+02 -1.521457e-04 1.502904e-20) (1.755745e-02 -6.679758e-09 -3.527126e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.931999e-21 1.682978e-21 8.473217e-06) (-2.013126e-22 -4.278770e-23 2.858567e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.255        	((2.329875e+02 3.398158e-05 1.417901e-20) (1.757416e-02 -6.280592e-09 -3.459340e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.887202e-21 1.735375e-21 -8.999799e-07) (-2.028989e-22 -4.975287e-23 2.686744e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.26         	((2.339043e+02 -2.575516e-04 1.335717e-20) (1.758937e-02 -6.039634e-09 -3.389961e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.849552e-21 1.788146e-21 1.361223e-05) (-2.042990e-22 -5.659972e-23 2.600012e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.265        	((2.347401e+02 2.119070e-04 1.253059e-20) (1.760308e-02 -5.582802e-09 -3.314225e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.801619e-21 1.836754e-21 -9.925270e-06) (-2.054568e-22 -6.324351e-23 2.405177e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.27         	((2.354728e+02 -2.420507e-04 1.172821e-20) (1.761530e-02 -5.310585e-09 -3.238154e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.763911e-21 1.887149e-21 1.271030e-05) (-2.064032e-22 -6.982093e-23 2.306427e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.275        	((2.361489e+02 2.725550e-04 1.091002e-20) (1.762602e-02 -4.815194e-09 -3.155609e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.714753e-21 1.933701e-21 -1.308307e-05) (-2.070711e-22 -7.619706e-23 2.096211e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.28         	((2.367427e+02 -1.621123e-04 1.010726e-20) (1.763527e-02 -4.498704e-09 -3.073308e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.676342e-21 1.982772e-21 8.588976e-06) (-2.075070e-22 -8.252980e-23 1.978582e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.285        	((2.373017e+02 2.502067e-04 9.277839e-21) (1.764303e-02 -3.990601e-09 -2.985226e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.628509e-21 2.029382e-21 -1.208966e-05) (-2.076550e-22 -8.867409e-23 1.765419e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
